,arg1,arg2,verb,sentence,verb_idx,label,new_sentences,new_ind
86,liquid,,cloud, The chemical clouded the liquid to which it was added .,2,1,liquid desiresfuelliquid is capable ofbe liquidliquid has propertyliquidliquid is at locationcontainerliquid is used fordrinkliquid is made ofwatercloud desiresbe extinguishcloud is capable ofrain watercloud has propertywhitecloud is at locationskycloud is used formake rain fall,281
87,idea,,color, His political ideas color his lectures .,3,1,idea desiresbe understandidea is capable ofbe abstractidea has propertyimportantidea is at locationchurchidea is used forunderstandidea is made ofideacolor desiresbe mixcolor is capable ofchange color of lightcolor has propertyreflectivecolor is at locationrainbowcolor is used formake picture,296
88,wall,,color, color the walls with paint in warm tones .,0,0,wall desiresbe openwall is capable ofseparate roomwall has propertyverticalwall is at locationwallwall is used fordivide roomwall is made ofconcretecolor desiresbe mixcolor is capable ofchange color of lightcolor has propertyreflectivecolor is at locationrainbowcolor is used formake picture,291
89,act,,commit, commit a random act of kindness .,0,0,act desiresbe goodact is capable ofbe actact has propertyfunact is at locationoperaact is used forentertainmentact is made ofactcommit desiresbe good personcommit is capable ofbe commit crimecommit has propertybadcommit is at locationchurchcommit is used formake money,268
90,message,,communicate, Please communicate this message to all employees .,1,0,message desiresbe writemessage is capable ofbe sendmessage has propertyconfusemessage is at locationphone bookmessage is used forcommunicatemessage is made oftextcommunicate desiresunderstandcommunicate is capable ofbe very useful skillcommunicate has propertyimportant to personcommunicate is at locationclassroomcommunicate is used forcommunicate,349
91,anxiety,,communicate, He communicated his anxieties to the psychiatrist .,1,0,anxiety desiresbe calmanxiety is capable oflead to depressionanxiety has propertybadanxiety is at locationairportanxiety is used foranxietyanxiety is made ofanxietycommunicate desiresunderstandcommunicate is capable ofbe very useful skillcommunicate has propertyimportant to personcommunicate is at locationclassroomcommunicate is used forcommunicate,351
92,disease,,communicate, communicate a disease .,0,1,disease desireslivedisease is capable ofspreaddisease has propertydiseasedisease is at locationhospitaldisease is used forkilldisease is made oforganismcommunicate desiresunderstandcommunicate is capable ofbe very useful skillcommunicate has propertyimportant to personcommunicate is at locationclassroomcommunicate is used forcommunicate,338
93,room,,communicate, The rooms communicated .,2,1,room desiresbe cleanroom is capable ofbe cleanroom has propertydarkroom is at locationhouseroom is used forsleeproom is made ofbrickcommunicate desiresunderstandcommunicate is capable ofbe very useful skillcommunicate has propertyimportant to personcommunicate is at locationclassroomcommunicate is used forcommunicate,320
94,haircut,,compare, John compared his haircut to his friend 's .,1,0,haircut desireslook good on personhaircut is capable ofbe changehaircut has propertygoodhaircut is at locationbarber shophaircut is used forkeep your hair shorthaircut is made ofplasticcompare desiresbe good personcompare is capable ofcomparecompare has propertyimportantcompare is at locationmathcompare is used forcompare,324
95,car,,compare, This car does not compare with our line of Mercedes .,4,0,car desiresrun on gasolinecar is capable ofbe dangerouscar has propertydangerouscar is at locationin garagecar is used fortravelcar is made ofmetalcompare desiresbe good personcompare is capable ofcomparecompare has propertyimportantcompare is at locationmathcompare is used forcompare,289
96,dynasty,,compare, We can compare the Han dynasty to the Romans .,2,0,dynasty desiresrule countrydynasty is capable ofrule countrydynasty has propertyolddynasty is at locationmuseumdynasty is used forrule countrydynasty is made ofpersoncompare desiresbe good personcompare is capable ofcomparecompare has propertyimportantcompare is at locationmathcompare is used forcompare,306
