,arg1,arg2,verb,sentence,verb_idx,label,new_sentences,new_ind
33,foot,,bind, The Chinese would bind the feet of their women .,3,0,foot has propertylong foot is at locationshoe foot is used forwalk bind desires bind. bind is at location hospital. bind is used for bind.  The Chinese would bind the feet of their women .,37
34,book,,bind, They bind their books in leather .,1,0,book has propertyheavy book is at locationlibrary book is used forlearn bind desires bind. bind is at location hospital. bind is used for bind.  They bind their books in leather .,32
35,oxygen,,bind, The hydrogen binds the oxygen .,2,1,oxygen has propertyessential to life oxygen is at locationair oxygen is used forlife bind desires bind. bind is at location hospital. bind is used for bind.  The hydrogen binds the oxygen .,34
36,meteor,,blaze, Meteors blazed across the atmosphere .,1,1,meteor has propertyvery large meteor is at locationspace meteor is used fortravel between solar system blaze desires burn. blaze is at location fire. blaze is used for burn.  Meteors blazed across the atmosphere .,35
37,pine,,blaze, The summer sun alone can cause a pine to blaze .,9,0,pine has propertygreen pine is at locationforest pine is used formake campfire blaze desires burn. blaze is at location fire. blaze is used for burn.  The summer sun alone can cause a pine to blaze .,45
38,spaceship,,blaze, The spaceship blazed out into space .,2,1,spaceship has propertyfast spaceship is at locationspace spaceship is used fortravel blaze desires burn. blaze is at location fire. blaze is used for burn.  The spaceship blazed out into space .,33
39,foot,,blister, Her feet blistered during the long hike .,2,0,foot has propertylong foot is at locationshoe foot is used forwalk blister desires burn. blister is at location finger. blister is used for burn.  Her feet blistered during the long hike .,34
40,administration,,blister, The Senator blistered the administration in his speech on Friday .,2,1,administration has propertyimportant administration is at locationschool administration is used fororganize information blister desires burn. blister is at location finger. blister is used for burn.  The Senator blistered the administration in his speech on Friday .,38
41,haze,,blur, The haze blurs the hills .,2,0,haze has propertycool haze is at locationthunderstorm haze is used forclear vision blur desires play. blur is at location movie. blur is used for correct mistake.  The haze blurs the hills .,34
42,vision,,blur, The fog blurs my vision .,2,0,vision has propertyvery important vision is at locationbook vision is used forsee blur desires play. blur is at location movie. blur is used for correct mistake.  The fog blurs my vision .,34
43,distinction,,blur, The distinction between the two theories blurred .,6,1,distinction has propertybad distinction is at locationchurch distinction is used formake person feel good blur desires play. blur is at location movie. blur is used for correct mistake.  The distinction between the two theories blurred .,42
44,listener,,bolt, The listeners bolted when he discussed his strange ideas .,2,1,listener has propertyimportant listener is at locationconference listener is used forlisten bolt desires be clean. bolt is at location garage. bolt is used for fasten thing together.  The listeners bolted when he discussed his strange ideas .,39
45,food,,bolt, Do n't bolt your food !,2,1,food has propertygood food is at locationpantry food is used fornutrition bolt desires be clean. bolt is at location garage. bolt is used for fasten thing together.  Do n't bolt your food !,35
46,economy,,boost, The tax cut will boost the economy .,4,1,economy has propertybad economy is at locationcity economy is used forbuy thing boost desires win. boost is at location bridge. boost is used for lift something.  The tax cut will boost the economy .,38
47,voltage,,boost, Boost the voltage in an electrical circuit .,0,0,voltage has propertydangerous voltage is at locationelectrical circuit voltage is used forelectricity boost desires win. boost is at location bridge. boost is used for lift something.  Boost the voltage in an electrical circuit .,34
48,singer,,boost, The singer had to be boosted onto the stage by a special contraption .,5,0,singer has propertysing singer is at locationopera singer is used forsing boost desires win. boost is at location bridge. boost is used for lift something.  The singer had to be boosted onto the stage by a special contraption .,44
49,ball,,bounce, The rubber ball bounced .,3,0,ball has propertyround ball is at locationtoy store ball is used forplay basketball bounce desires win. bounce is at location park. bounce is used for exercise.  The rubber ball bounced .,34
50,people,,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,8,1,people has propertyselfish people is at locationbus stop people is used forwork bounce desires win. bounce is at location park. bounce is used for exercise.  The ex - boxer 's job is to bounce people who want to enter this private club .,51
51,government,,bow, The government bowed to the military pressure .,2,1,government has propertycorrupt government is at locationdemocracy government is used forcontrol bow desires be gift. bow is at location boat. bow is used for tie bow.  The government bowed to the military pressure .,36
52,life,,breathe, He breathed new life into the old house .,1,1,life has propertyfragile life is at locationearth life is used forlive breathe desires live. breathe is at location hospital. breathe is used for live.  He breathed new life into the old house .,34
53,fabric,,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,4,1,fabric has propertyweave fabric is at locationsew room fabric is used formake curtain breathe desires live. breathe is at location hospital. breathe is used for live.  Our new synthetic fabric breathes and is perfect for summer wear .,42
54,hair,,brush, Johnson brushed the hairs from his jacket .,1,0,hair has propertycurly hair is at locationyour head hair is used forwash brush desires brush tooth. brush is at location bathroom. brush is used for clean your hair.  Johnson brushed the hairs from his jacket .,37
55,wall,,brush, He brushed the wall lightly .,1,0,wall has propertyvertical wall is at locationwall wall is used fordivide room brush desires brush tooth. brush is at location bathroom. brush is used for clean your hair.  He brushed the wall lightly .,35
56,suit,,brush, She brushed the suit before hanging it back into the closet .,1,0,suit has propertyexpensive suit is at locationsuitcase suit is used forprotect your body brush desires brush tooth. brush is at location bathroom. brush is used for clean your hair.  She brushed the suit before hanging it back into the closet .,42
57,suspense,,build, Suspense was building right from the beginning of the opera .,2,1,suspense has propertyexcite suspense is at locationtheatre suspense is used formake person nervous build desires build. build is at location build. build is used for shelter.  Suspense was building right from the beginning of the opera .,39
58,school,,build, The government is building new schools in this state .,3,0,school has propertyfun school is at locationtown school is used forteach build desires build. build is at location build. build is used for shelter.  The government is building new schools in this state .,37
59,nation,,build, build a modern nation .,0,1,nation has propertycorrupt nation is at locationworld nation is used forgovern build desires build. build is at location build. build is used for shelter.  build a modern nation .,29
60,architect,,build, These architects build in interesting and new styles .,2,0,architect has propertyold architect is at locationbuild architect is used forbuild build desires build. build is at location build. build is used for shelter.  These architects build in interesting and new styles .,35
61,defense,,build, build a defense on nothing but the accused person 's reputation .,0,1,defense has propertyimportant defense is at locationschool defense is used forprotect someone build desires build. build is at location build. build is used for shelter.  build a defense on nothing but the accused person 's reputation .,37
62,sum,,buy, This sum will buy you a ride on the train .,3,0,sum has propertyplural sum is at locationsum sum is used forsum buy desires buy thing. buy is at location supermarket. buy is used for buy thing.  This sum will buy you a ride on the train .,40
63,love,,buy, She wanted to buy his love with her dedication to him and his work .,3,0,love has propertygood love is at locationfamily love is used forgive buy desires buy thing. buy is at location supermarket. buy is used for buy thing.  She wanted to buy his love with her dedication to him and his work .,44
64,story,,buy, I ca n't buy this story .,3,1,story has propertyinaccurate story is at locationnewspaper story is used forentertainment buy desires buy thing. buy is at location supermarket. buy is used for buy thing.  I ca n't buy this story .,36
65,bee,,buzz, bees were buzzing around the hive .,2,0,bee has propertysmall bee is at locationflower bee is used forfly buzz desires play game. buzz is at location stadium. buzz is used for fun.  bees were buzzing around the hive .,34
66,plane,,buzz, Planes buzzed the crowds in the square .,1,0,plane has propertyfly plane is at locationairport plane is used forfly buzz desires play game. buzz is at location stadium. buzz is used for fun.  Planes buzzed the crowds in the square .,34
67,office,,buzz, This office is buzzing with activity .,3,1,office has propertyclutter office is at locationoffice build office is used forwork buzz desires play game. buzz is at location stadium. buzz is used for fun.  This office is buzzing with activity .,36
68,servant,,buzz, he buzzed the servant .,1,1,servant has propertycourteous servant is at locationmansion servant is used forserve buzz desires play game. buzz is at location stadium. buzz is used for fun.  he buzzed the servant .,31
69,essence,,capture, capture the essence of Spring   .,0,1,essence has propertyimportant essence is at locationwater essence is used formake something capture desires get money. capture is at location circus. capture is used for punish criminal.  capture the essence of Spring   .,33
70,heart,,capture, She captured all the men 's hearts .,1,1,heart has propertystrong heart is at locationperson heart is used forlove capture desires get money. capture is at location circus. capture is used for punish criminal.  She captured all the men 's hearts .,35
71,neutron,,capture, This nucleus has captured the slow - moving neutrons .,3,0,neutron has propertyvery small neutron is at locationspace neutron is used forneutralise energy capture desires get money. capture is at location circus. capture is used for punish criminal.  This nucleus has captured the slow - moving neutrons .,41
72,way,,claw, They clawed their way to the top of the mountain .,1,1,way has propertymove way is at locationuniverse way is used forget something claw desires eat. claw is at location your arm. claw is used for scratch.  They clawed their way to the top of the mountain .,38
73,doorknob,,claw, She clawed the doorknob .,1,1,doorknob has propertyopen doorknob is at locationfront door doorknob is used foropen door claw desires eat. claw is at location your arm. claw is used for scratch.  She clawed the doorknob .,33
74,rival,,claw, The politician clawed his rival .,2,1,rival has propertybad rival is at locationwar rival is used formake enemy claw desires eat. claw is at location your arm. claw is used for scratch.  The politician clawed his rival .,34
75,hill,,climb, Did you ever climb up the hill behind your house ?,3,0,hill has propertyflat hill is at locationcountryside hill is used forclimb climb desires climb mountain. climb is at location mountain. climb is used for get up mountain.  Did you ever climb up the hill behind your house ?,41
76,sale,,climb, Sales were climbing after prices were lowered .,2,1,sale has propertyexpensive sale is at locationshop sale is used forsell product climb desires climb mountain. climb is at location mountain. climb is used for get up mountain.  Sales were climbing after prices were lowered .,38
77,price,,climb, Sales were climbing after prices were lowered .,2,1,price has propertybad price is at locationbank price is used forbuy thing climb desires climb mountain. climb is at location mountain. climb is used for get up mountain.  Sales were climbing after prices were lowered .,38
78,path,,climb, The path climbed all the way to the top of the hill .,2,1,path has propertyuphill path is at locationforest path is used forgo somewhere climb desires climb mountain. climb is at location mountain. climb is used for get up mountain.  The path climbed all the way to the top of the hill .,43
79,drain,,clog, The leaves clog our drains in the Fall .,2,0,drain has propertyslippery drain is at locationdrain drain is used fordrain clog desires water. clog is at location drain. clog is used for drain.  The leaves clog our drains in the Fall .,35
80,horse,,clog, horses were clogged until they were tamed .,2,1,horse has propertybig horse is at locationkentucky derby horse is used forride clog desires water. clog is at location drain. clog is used for drain.  horses were clogged until they were tamed .,35
81,market,,clog, The market is being clogged by these operations .,4,1,market has propertyvery popular market is at locationcity market is used forbuy thing clog desires water. clog is at location drain. clog is used for drain.  The market is being clogged by these operations .,39
82,mind,,clog, Fear clogged her mind .,1,1,mind has propertygood mind is at locationyour head mind is used forthink clog desires water. clog is at location drain. clog is used for drain.  Fear clogged her mind .,31
83,smoke,,cloud, The smoke clouded above the houses .,2,0,smoke has propertybad for your health smoke is at locationfire smoke is used forkill bacteria cloud desires be extinguish. cloud is at location sky. cloud is used for make rain fall.  The smoke clouded above the houses .,40
84,face,,cloud, Their faces were clouded with sadness .,3,1,face has propertyround face is at locationface face is used forlook at thing cloud desires be extinguish. cloud is at location sky. cloud is used for make rain fall.  Their faces were clouded with sadness .,39
85,memory,,cloud, The stroke clouded memories of her youth .,2,1,memory has propertyimportant memory is at locationcomputer memory is used forremember cloud desires be extinguish. cloud is at location sky. cloud is used for make rain fall.  The stroke clouded memories of her youth .,37
86,liquid,,cloud, The chemical clouded the liquid to which it was added .,2,1,liquid has propertyliquid liquid is at locationcontainer liquid is used fordrink cloud desires be extinguish. cloud is at location sky. cloud is used for make rain fall.  The chemical clouded the liquid to which it was added .,40
87,idea,,color, His political ideas color his lectures .,3,1,idea has propertyimportant idea is at locationchurch idea is used forunderstand color desires be mix. color is at location rainbow. color is used for make picture.  His political ideas color his lectures .,36
88,wall,,color, color the walls with paint in warm tones .,0,0,wall has propertyvertical wall is at locationwall wall is used fordivide room color desires be mix. color is at location rainbow. color is used for make picture.  color the walls with paint in warm tones .,36
89,act,,commit, commit a random act of kindness .,0,0,act has propertyfun act is at locationopera act is used forentertainment commit desires be good person. commit is at location church. commit is used for make money.  commit a random act of kindness .,34
90,message,,communicate, Please communicate this message to all employees .,1,0,message has propertyconfuse message is at locationphone book message is used forcommunicate communicate desires understand. communicate is at location classroom. communicate is used for communicate.  Please communicate this message to all employees .,34
91,anxiety,,communicate, He communicated his anxieties to the psychiatrist .,1,0,anxiety has propertybad anxiety is at locationairport anxiety is used foranxiety communicate desires understand. communicate is at location classroom. communicate is used for communicate.  He communicated his anxieties to the psychiatrist .,33
92,disease,,communicate, communicate a disease .,0,1,disease has propertydisease disease is at locationhospital disease is used forkill communicate desires understand. communicate is at location classroom. communicate is used for communicate.  communicate a disease .,28
93,room,,communicate, The rooms communicated .,2,1,room has propertydark room is at locationhouse room is used forsleep communicate desires understand. communicate is at location classroom. communicate is used for communicate.  The rooms communicated .,30
94,haircut,,compare, John compared his haircut to his friend 's .,1,0,haircut has propertygood haircut is at locationbarber shop haircut is used forkeep your hair short compare desires be good person. compare is at location math. compare is used for compare.  John compared his haircut to his friend 's .,40
95,car,,compare, This car does not compare with our line of Mercedes .,4,0,car has propertydangerous car is at locationin garage car is used fortravel compare desires be good person. compare is at location math. compare is used for compare.  This car does not compare with our line of Mercedes .,42
96,dynasty,,compare, We can compare the Han dynasty to the Romans .,2,0,dynasty has propertyold dynasty is at locationmuseum dynasty is used forrule country compare desires be good person. compare is at location math. compare is used for compare.  We can compare the Han dynasty to the Romans .,39
97,personality,,compose, Greed and ambition composed his personality .,3,1,personality has propertygood personality is at locationbuild personality is used formanipulate compose desires music. compose is at location opera. compose is used for express yourself.  Greed and ambition composed his personality .,35
98,symphony,,compose, Beethoven composed nine symphonies .,1,0,symphony has propertybeautiful symphony is at locationsymphony symphony is used forentertainment compose desires music. compose is at location opera. compose is used for express yourself.  Beethoven composed nine symphonies .,31
99,office,,computerize, Our office is fully computerized now .,4,0,office has propertyclutter office is at locationoffice build office is used forwork computerize desires understand. computerize is at location computer. computerize is used for calculate.  Our office is fully computerized now .,36
100,industry,,computerize, They computerized the car industry .,1,0,industry has propertycompetitive industry is at locationcity industry is used formake money computerize desires understand. computerize is at location computer. computerize is used for calculate.  They computerized the car industry .,32
101,content,,condense, condense the contents of a book into a summary .,0,1,content has propertygood content is at locationbed content is used forenjoyment condense desires understand. condense is at location computer. condense is used for make map.  condense the contents of a book into a summary .,35
102,air,,condense, The cold air condensed the steam .,3,0,air has propertyvery dense air is at locationair air is used formove air condense desires understand. condense is at location computer. condense is used for make map.  The cold air condensed the steam .,37
103,planet,,condense, All our planets condensed out of the same material .,3,0,planet has propertylarge planet is at locationspace planet is used forlive on condense desires understand. condense is at location computer. condense is used for make map.  All our planets condensed out of the same material .,39
104,plan,,condense, Congress condensed the three - year plan into a six - month plan .,1,1,plan has propertycomplex plan is at locationplan plan is used forplan condense desires understand. condense is at location computer. condense is used for make map.  Congress condensed the three - year plan into a six - month plan .,40
105,crowd,,convulse, The comedian convulsed the crowd .,2,1,crowd has propertynoisy crowd is at locationstadium crowd is used forwatch sport convulse desires vomit. convulse is at location hospital. convulse is used for die.  The comedian convulsed the crowd .,33
106,earthquake,,convulse, earthquakes convulsed the countryside .,1,1,earthquake has propertybad earthquake is at locationutah earthquake is used fordestroy build convulse desires vomit. convulse is at location hospital. convulse is used for die.  earthquakes convulsed the countryside .,31
107,spasm,,convulse, The spasm convulses her facial muscles .,2,0,spasm has propertybad spasm is at locationpain spasm is used forpain convulse desires vomit. convulse is at location hospital. convulse is used for die.  The spasm convulses her facial muscles .,33
108,muscle,,convulse, The muscles in her face convulsed .,5,0,muscle has propertystrong muscle is at locationbody muscle is used forlift convulse desires vomit. convulse is at location hospital. convulse is used for die.  The muscles in her face convulsed .,36
109,crocodile,,crawl, The crocodile was crawling along the riverbed .,3,0,crocodile has propertyvenomous crocodile is at locationcrocodile crocodile is used forfish crawl desires explore. crawl is at location cellar. crawl is used for get to top.  The crocodile was crawling along the riverbed .,37
110,skin,,crawl, My skin crawled -- I was terrified .,2,1,skin has propertysoft skin is at locationyour finger skin is used forcover your body crawl desires explore. crawl is at location cellar. crawl is used for get to top.  My skin crawled -- I was terrified .,39
111,cheese,,crawl, The old cheese was crawling with maggots .,4,1,cheese has propertygood cheese is at locationstore cheese is used foreat crawl desires explore. crawl is at location cellar. crawl is used for get to top.  The old cheese was crawling with maggots .,38
112,child,,crawl, European children learn the breast stroke ; they often do n't know how to crawl .,14,0,child has propertyvery creative child is at locationkindergarten child is used forplay with crawl desires explore. crawl is at location cellar. crawl is used for get to top.  European children learn the breast stroke ; they often do n't know how to crawl .,58
113,prince,,crown, The prince was crowned in Westminster Abbey .,3,0,prince has propertymale prince is at locationcastle prince is used forplay chess crown desires win. crown is at location crown. crown is used for wear.  The prince was crowned in Westminster Abbey .,36
114,meeting,,crown, The speech crowned the meeting .,2,1,meeting has propertyimportant meeting is at locationconference meeting is used formake friend crown desires win. crown is at location crown. crown is used for wear.  The speech crowned the meeting .,33
115,building,,crown, A weather vane crowns the building .,3,1,building has propertytall building is at locationbuild building is used forshelter crown desires win. crown is at location crown. crown is used for wear.  A weather vane crowns the building .,34
116,can,,crush, crush an aluminum can .,0,0,can has propertygood can is at locationpantry can is used forstore thing crush desires be love. crush is at location hockey game. crush is used for fun.  crush an aluminum can .,32
117,toy,,crush, The car crushed the toy .,2,0,toy has propertyfun toy is at locationtoy box toy is used forplay crush desires be love. crush is at location hockey game. crush is used for fun.  The car crushed the toy .,35
118,refusal,,crush, She was crushed by his refusal of her invitation .,2,1,refusal has propertycorrect refusal is at locationmarriage refusal is used forget your way crush desires be love. crush is at location hockey game. crush is used for fun.  She was crushed by his refusal of her invitation .,40
119,bottle,,crush, The plastic bottle crushed against the wall .,3,0,bottle has propertyempty bottle is at locationkitchen bottle is used forhold liquid crush desires be love. crush is at location hockey game. crush is used for fun.  The plastic bottle crushed against the wall .,38
120,smoke,,curl, The cigar smoke curled up at the ceiling .,3,1,smoke has propertybad for your health smoke is at locationfire smoke is used forkill bacteria curl desires curl up. curl is at location your hair. curl is used for style hair.  The cigar smoke curled up at the ceiling .,43
121,hair,,curl," Curl my hair , please .",0,0,"hair has propertycurly hair is at locationyour head hair is used forwash curl desires curl up. curl is at location your hair. curl is used for style hair.  Curl my hair , please .",34
122,plate,,dash, He dashed the plate against the wall .,1,0,plate has propertyflat plate is at locationkitchen plate is used forhold food dash desires play game of chess. dash is at location street. dash is used for fun.  He dashed the plate against the wall .,37
123,ambition,,dash, dashed ambitions and hopes .,0,1,ambition has propertygood ambition is at locationuniversity ambition is used forwin dash desires play game of chess. dash is at location street. dash is used for fun.  dashed ambitions and hopes .,32
124,paint,,dash, blue paint dashed with white .,2,0,paint has propertyfun paint is at locationart show paint is used formake art dash desires play game of chess. dash is at location street. dash is used for fun.  blue paint dashed with white .,37
125,mattress,,deflate, deflate the air mattress .,0,0,mattress has propertysoft mattress is at locationbedroom mattress is used forsleep on deflate desires fly. deflate is at location space shuttle. deflate is used for deflate balloon.  deflate the air mattress .,32
126,confidence,,deflate, The bad review of his work deflated his self - confidence .,6,1,confidence has propertygood confidence is at locationbuild confidence is used formanipulate deflate desires fly. deflate is at location space shuttle. deflate is used for deflate balloon.  The bad review of his work deflated his self - confidence .,44
127,economy,,deflate, The new measures deflated the economy .,3,1,economy has propertybad economy is at locationcity economy is used forbuy thing deflate desires fly. deflate is at location space shuttle. deflate is used for deflate balloon.  The new measures deflated the economy .,37
128,currency,,deflate, deflate the currency .,0,1,currency has propertyworthless currency is at locationbank currency is used forbuy thing deflate desires fly. deflate is at location space shuttle. deflate is used for deflate balloon.  deflate the currency .,31
129,balloon,,deflate, The balloons deflated .,2,0,balloon has propertyfun balloon is at locationsky balloon is used forfun deflate desires fly. deflate is at location space shuttle. deflate is used for deflate balloon.  The balloons deflated .,32
130,suit,,design, Chanel designed the famous suit .,1,0,suit has propertyexpensive suit is at locationsuitcase suit is used forprotect your body design desires be write. design is at location art store. design is used for entertainment.  Chanel designed the famous suit .,35
131,excuse,,design, She designed a good excuse for not attending classes that day .,1,1,excuse has propertybad excuse is at locationchurch excuse is used forget someone attention design desires be write. design is at location art store. design is used for entertainment.  She designed a good excuse for not attending classes that day .,41
132,home,,devour, Fire had devoured our home .,2,1,home has propertynice home is at locationcity home is used forlive devour desires eat. devour is at location refrigerator. devour is used for satisfy hunger.  Fire had devoured our home .,33
133,novel,,devour, She devoured his novels .,1,1,novel has propertyentertain novel is at locationbookstore novel is used forentertainment devour desires eat. devour is at location refrigerator. devour is used for satisfy hunger.  She devoured his novels .,31
134,sandwich,,devour, he devoured three sandwiches .,1,0,sandwich has propertygood sandwich is at locationfridge sandwich is used foreat devour desires eat. devour is at location refrigerator. devour is used for satisfy hunger.  he devoured three sandwiches .,31
135,milk,,digest, I can not digest milk products .,3,0,milk has propertygood for baby milk is at locationstore milk is used formake baby digest desires food. digest is at location jar. digest is used for eat.  I can not digest milk products .,37
136,information,,digest, I can not digest all this information .,3,1,information has propertyuseful information is at locationnewspaper information is used forlearn digest desires food. digest is at location jar. digest is used for eat.  I can not digest all this information .,35
137,protein,,digest, Protein digests in a few hours .,1,0,protein has propertynecessary for life protein is at locationstore protein is used formake food digest desires food. digest is at location jar. digest is used for eat.  Protein digests in a few hours .,35
138,law,,digest, the government digested the entire law into a code .,2,1,law has propertyimportant law is at locationoffice law is used forenforce law digest desires food. digest is at location jar. digest is used for eat.  the government digested the entire law into a code .,37
139,martini,,down, He downed three martinis before dinner .,1,1,martini has propertyserve cold martini is at locationbar martini is used fordrink down desires play. down is at location floor. down is used for get to top.  He downed three martinis before dinner .,35
